readout,mae_ascending,mae_descending,cycle_wise_hysteresis
linear,4.950580979210376,6.146001112835165,3.7086336384214227
cubic,2.393988937616754,1.8183873637605543,
ours,0.43273660512770556,0.36590370624497376,0.5231778372746348
