method,1,2,3,4,5,6,7,8,9,10,11,12,mean
scan_segments,31,125,11,16,13,6,99,18,50,70,40,11,
step_deg,0.964462407312169,0.9574146772440315,0.9673087616206146,0.09672451975950125,0.09648061466080549,0.09661680428297359,1.6703260726317808,1.4833128628980603,1.673945725866588,1.6075174591547636,1.9475305496560225,0.1333779491560847,
ridge_sequential,9.806873194274376,14.925338994256395,6.230396154324558,17.805308795642667,48.48938581946348,5.819485152280618,9.313355332171296,3.523298152401799,6.766981082006556,6.926993924646022,11.08560232887485,6.805034241937185,12.291504431023315
es_sequential,9.851405544512359,14.892573073965572,6.210310719954458,17.805419981614413,48.27013157660478,5.826688491055132,9.413457504162961,3.770818443920969,6.75442465339831,6.7534487494770135,11.37822926637556,4.598720240489208,12.127135687127561
es_block_shuffled,15.901353160050846,17.973919991316357,15.074437599921648,17.805579597972883,48.27451555369589,5.91218840774675,17.910844430513002,12.279837621757654,15.369995889312847,13.402037193536163,23.375939849496014,6.561598726164189,17.486854001790352
kalman_sequential,8.398534231782447,14.927421281841005,6.224563209577812,17.805367295551438,48.489384098244095,5.819533428473069,8.484486240060864,3.5308569257648252,6.759622779522395,6.944619309602246,11.182795796998906,6.044200460697045,12.050948754843013
kalman_block_shuffled,22.16169046892284,16.259099325988895,11.216724421019412,17.8070486223182,48.4894006446758,5.854715870757365,23.931353686301353,8.751131400873046,11.43459287393387,10.468617288607005,14.785636433063928,6.9453004450542695,16.508775956793
rf_sequential,5.003161315786955,5.083145905880389,5.069484264986057,20.248831772612323,2.5546978970958385,1.5211138744451125,4.082940662083875,3.3850320352951098,1.778187306870085,1.9616763139368274,5.1522317063118255,13.754563451625241,5.79958887557747
mlp_sequential,3.1890619666146636,4.297786752935713,3.4010530117812947,13.171257201261065,5.777256444733141,2.502806634909716,4.268292106325533,2.24358423864418,1.2560873272996702,1.3163592803134212,4.072338504293624,9.000756993298708,4.541386705200894
tcn_sequential,2.2331137657165527,3.680858850479126,2.3036186695098877,9.880715370178223,3.3602294921875,1.8654937744140625,2.0065908432006836,2.142144203186035,0.8744340538978577,0.9116279482841492,2.2943243980407715,17.033498764038086,4.048887511094411
tcn_block_shuffled,21.973202228546143,22.672481536865234,23.84642791748047,10.29727554321289,4.375802040100098,3.4693877696990967,22.794339656829834,19.603139877319336,21.498241901397705,22.86552381515503,26.442702770233154,17.30294942855835,18.09512287378311
gru_sequential,2.698906660079956,3.9747278690338135,2.8036038875579834,16.108901977539062,3.3512425422668457,1.4213755130767822,3.171281576156616,2.429086923599243,1.3483860492706299,0.9622980952262878,4.226088523864746,15.698137283325195,4.8495030750830965
gru_block_shuffled,23.700802326202393,21.713148593902588,23.05783700942993,16.15133237838745,4.413659453392029,3.141818583011627,22.433621883392334,21.964502811431885,22.5562105178833,21.2255597114563,31.142037391662598,15.995732307434082,18.958021913965542
transformer_sequential,3.881681442260742,2.4335033893585205,2.956709146499634,17.422672271728516,1.6989350318908691,2.265617847442627,3.8205459117889404,1.447192907333374,1.1517791748046875,0.8193974494934082,2.8750317096710205,16.542356491088867,4.776285231113434
transformer_block_shuffled,16.30814290046692,21.37967300415039,24.15234136581421,17.58379888534546,3.299281895160675,3.8303970098495483,10.614888906478882,10.83039402961731,8.99027681350708,9.247564792633057,15.23313570022583,16.471188068389893,13.161756947636604
kalmannet_sequential,3.2199665773506005,4.960615354144356,3.2833954773619083,12.91521146237298,14.974241876625705,3.0246724968889978,2.775587444395147,2.366768912173034,9.988302939518004,1.9772884405925464,3.8719200268082443,6.765730234312715,5.84364177021202
kalmannet_block_shuffled,22.794157731446845,15.644314950504429,4.841809076765828,12.952060301474361,11.423985266917764,3.731550975345218,124.31593015590488,3.4367263418892042,26.412732397232368,2.5489760800951817,39.50117746881042,7.173078700687251,22.898041620589478
calib_ridge_sequential,1.9717180286915477,2.845979248086992,2.6278210906846518,0.6667588859230801,4.313064356237891,2.4876184396881555,3.6814853804719427,2.407998804919055,4.101765777793576,2.3491537988979796,2.9049844430231726,0.6636155474457519,2.5851636501553164
calib_kalman_sequential,1.9647223447113573,2.844914441314018,2.550150686625044,0.6646620682351062,4.31077424719918,2.486198405698395,3.680000546258545,2.4333161338020313,3.5689155129348746,1.7632004002707538,2.8607266152274775,0.6170706868055129,2.4787210074235246
calib_kalman_block_shuffled,10.81214405319171,8.295420948363851,19.095362567009236,1.681481402514093,4.675985804497493,3.8041155172809993,10.308267333892108,8.908005633834861,19.79068142651266,19.886314236497036,11.452597893657492,3.0221283904541627,10.144375433975476
calib_es_sequential,1.9301999403095484,2.9774197847219894,2.6985869530042046,0.6796657797800155,4.315981133690797,2.4662767850637777,3.701210850503209,2.838895846227044,4.282051588445763,2.7497129219696794,2.487963854160752,0.6415618207953239,2.6474606048893423
calib_es_block_shuffled,12.14863961656951,11.699096686262724,13.01318146601487,1.6498053885140551,4.445447140259786,3.219022779792707,14.772475399262321,13.038593905118674,15.574878612837189,14.539238004750535,16.787518259710303,2.12361140655862,10.250959055470942
rawknn_sequential,1.3442256720883563,1.1817270663447303,0.9246264691792291,0.5251352110891159,2.1260070691037414,2.3930681982582866,2.1704220221506527,0.6597765885354554,0.920777381718403,0.6718399512245641,1.4598957142755564,1.4416401207122773,1.318261788723364
ours,0.3950294852256775,0.7409436106681824,0.17988179624080658,0.2503679394721985,0.6548656225204468,0.3554351031780243,0.32493841648101807,0.55033940076828,0.3653763234615326,0.1293754130601883,0.30393195152282715,0.5607227087020874,0.40093398094177246
