configuration,mean,worst,sub_degree_datasets
decoder,0.40093398094177246,0.7409436106681824,12
no_drift_correction,2.2552600701649985,3.2459354400634766,0
no_causal_differential,2.1926654875278473,3.1870853900909424,0
no_channel_mask,0.7420410513877869,2.028817653656006,9
no_reference_pathway,0.4077308500806491,0.735697329044342,12
no_noise_perturbation,0.4905159665892522,1.2316027879714966,11
no_symmetry_augmentation,0.45400092874964076,0.806326150894165,12
no_augmentation,0.6198025005869567,1.7147051095962524,11
