Configuration,1,2,3,4,5,6,7,8,9,10,11,12,Mean
Complete system (16 electrodes),0.395,0.741,0.180,0.250,0.655,0.355,0.325,0.550,0.365,0.129,0.304,0.561,0.401
w/o drift-correction network,1.874,1.838,1.674,1.367,2.958,2.230,3.035,1.857,2.962,2.937,3.246,1.085,2.255
w/o causal differential features,1.846,1.758,1.620,1.371,2.703,2.151,2.814,1.904,3.046,2.712,3.187,1.199,2.193
w/o channel mask (all 120 channels),1.082,2.029,0.380,0.263,0.650,0.379,0.428,0.498,0.398,0.230,1.738,0.829,0.742
w/o normalization reference pathway,0.410,0.673,0.258,0.359,0.736,0.413,0.326,0.472,0.374,0.137,0.333,0.402,0.408
w/o noise-drift perturbation,0.559,1.232,0.041,0.166,0.706,0.225,0.714,0.588,0.457,0.306,0.440,0.452,0.491
w/o geometric symmetry augmentation,0.638,0.806,0.083,0.219,0.787,0.354,0.231,0.495,0.500,0.208,0.429,0.699,0.454
w/o all augmentation,0.921,0.888,0.027,0.213,1.715,0.312,0.754,0.578,0.583,0.243,0.533,0.670,0.620
